city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Brookefield,2,2,1,8,not acept,not furnished,2475,4800,99,63,7437
Bangalore,Haralur Road,3,2,0,-,acept,not furnished,0,7500,450,114,8064
Bangalore,Sarjapur  Road,2,2,1,1,not acept,not furnished,840,3000,414,39,4293
Bangalore,Subramanyapura,2,2,0,1,acept,furnished,2550,18000,750,231,21531
Bangalore,Begur Road,3,4,3,2,not acept,not furnished,7500,15450,3750,198,26898
Chennai,Perungalathur,3,3,2,4,not acept,not furnished,1200,5550,0,72,6822
Bangalore,Uttarahalli,2,2,1,2,acept,not furnished,1200,4500,108,60,5868
Bangalore,Uttarahalli,2,1,1,-,acept,not furnished,1452,4800,405,63,6720
Bangalore,Kasavanhalli,2,1,1,-,acept,not furnished,0,4500,489,69,5058
Chennai,Choolaimedu,4,5,2,-,acept,not furnished,0,18000,0,273,18273
Bangalore,Mathikere,4,6,4,1,acept,not furnished,15600,19200,8376,246,43410
Bangalore,Frazer Town,4,6,5,13,acept,not furnished,21600,18000,3501,231,43320
Bangalore,Maithri Layout,4,6,10,-,acept,not furnished,9000,42000,6000,633,57630
Bangalore,Kada Agrahara,4,6,4,13,acept,not furnished,9099,29940,7500,381,46920
Chennai,Guduvancheri,1,1,1,2,not acept,not furnished,2154,4800,39,63,7056
Bangalore,Singasandra,3,2,1,1,not acept,furnished,0,19500,0,249,19749
Bangalore,Thanisandra,4,2,2,-,acept,furnished,0,19500,1500,294,21294
Chennai,Kotturpuram,1,1,0,4,acept,not furnished,1290,1950,210,27,3477
Bangalore,Yeshwanthpur,4,4,6,8,acept,not furnished,11700,24000,5250,306,41250
Bangalore,Kothannur,1,1,0,2,acept,not furnished,0,8100,15,105,8220
Chennai,Thalambur,4,4,4,15,acept,not furnished,11400,33000,3240,420,48060
Bangalore,Uttarahalli,2,1,1,6,acept,not furnished,2400,3825,0,51,6276
Bangalore,Dodsworth Layout,3,1,3,17,acept,furnished,2490,20100,1200,255,24045
Bangalore,Vidyaranyapura,5,3,6,-,acept,not furnished,0,31500,5001,474,36990
Bangalore,Hennur Bande,5,6,3,-,acept,not furnished,0,26550,2874,402,29826
Bangalore,Nallurhalli,8,4,6,-,acept,not furnished,0,75000,6600,1128,82740
Bangalore,Yeshwanthpur,4,5,3,3,acept,furnished,14010,18000,3585,231,35820
Bangalore,Battarahalli,3,2,2,4,acept,furnished,3939,10800,1242,138,16119
Bangalore,Electronic City,3,3,2,-,not acept,not furnished,360,6000,0,93,6453
Bangalore,Bommasandra,3,3,1,1,acept,not furnished,3675,17400,1125,222,22422
Bangalore,Hormavu,3,2,3,-,acept,not furnished,0,15000,0,228,15228
Bangalore,Kanakpura Road,2,1,1,4,acept,furnished,1467,5700,0,75,7242
Bangalore,Sarjapur  Road,2,1,1,9,acept,furnished,1884,9300,324,120,11628
Bangalore,Varthur,1,2,1,4,acept,furnished,7200,36000,1050,459,44700
Bangalore,Hebbal,5,6,2,-,acept,not furnished,0,27000,2151,408,29559
Bangalore,Begur Road,4,2,2,3,not acept,not furnished,7680,24000,1950,306,33930
Bangalore,Bannerghatta Road,3,2,1,18,acept,not furnished,3450,15900,501,204,20055
Bangalore,Chandapura,3,1,1,11,acept,not furnished,1530,5400,0,69,6999
Bangalore,Whitefield,1,1,0,-,not acept,not furnished,0,2250,0,36,2286
Bangalore,Hosur Road,3,3,2,1,acept,furnished,5925,8700,1377,111,16113
Bangalore,Electronic City,4,2,2,-,acept,not furnished,0,10500,126,159,10785
Bangalore,Kaverappa Layout,4,7,6,-,acept,not furnished,0,23970,900,363,25233
Bangalore,Talaghattapura,2,3,2,5,not acept,not furnished,6000,36900,1626,468,45000
Bangalore,7th Phase JP Nagar,1,1,0,-,not acept,not furnished,0,3000,102,48,3150
Bangalore,Vasanth nagar,5,5,6,-,acept,not furnished,0,45000,5751,678,51420
Bangalore,Rachenahalli,3,1,1,1,acept,furnished,1368,8400,63,108,9939
Bangalore,Tumkur Road,3,2,1,-,acept,not furnished,0,19200,177,291,19668
Bangalore,9th Phase JP Nagar,1,1,1,8,acept,furnished,1800,10200,240,132,12372
Bangalore,Hegde Nagar,2,1,1,2,acept,not furnished,3240,12900,354,165,16659
Chennai,Pammal,1,1,0,8,acept,not furnished,1440,1500,42,21,3003
Bangalore,Karuna Nagar,3,2,5,-,not acept,not furnished,0,10065,645,153,10863
Bangalore,Lingadheeranahalli,2,3,2,18,acept,not furnished,4200,10650,1476,135,16461
Bangalore,Chandapura,2,1,1,8,acept,furnished,3246,11460,402,147,15255
Bangalore,Kannamangala,1,1,0,8,acept,not furnished,1200,3390,90,45,4725
Chennai,somangalam,3,2,2,-,acept,not furnished,0,7500,1266,114,8880
Bangalore,Sarjapur,1,1,0,3,not acept,furnished,900,1800,120,24,2844
Bangalore,GM Palaya,3,2,1,7,not acept,not furnished,5889,10500,1746,135,18270
Bangalore,Chandapura,2,1,1,8,acept,furnished,1800,5100,276,66,7242
Bangalore,Marathahalli,3,2,5,-,acept,not furnished,0,34500,6000,519,41010
Bangalore,7th Phase JP Nagar,2,1,1,7,not acept,not furnished,960,3870,0,51,4881
Bangalore,Thigalarapalya,3,4,3,6,acept,not furnished,11700,39000,4251,495,55440
Bangalore,Margondanahalli,1,1,1,10,not acept,furnished,2286,10500,195,135,13116
Bangalore,Rajaji Nagar,3,2,1,4,not acept,furnished,3402,23700,1158,303,28563
Bangalore,Rachenahalli,2,2,1,6,not acept,not furnished,1560,6165,0,81,7806
Bangalore,Begur Road,4,3,4,4,acept,not furnished,9600,33000,3000,420,46020
Bangalore,Raja Rajeshwari Nagar,1,1,0,7,not acept,not furnished,1395,3600,0,48,5043
Bangalore,Kalkere,3,3,2,19,acept,furnished,8700,42000,2694,534,53940
Bangalore,Kanakpura Road,3,3,2,-,acept,not furnished,0,8100,819,123,9042
Bangalore,Kothannur,1,1,0,1,not acept,not furnished,0,3600,177,48,3825
Bangalore,5th Phase JP Nagar,1,1,1,4,not acept,not furnished,1425,6600,231,84,8340
Chennai,Singaperumal Koil,3,3,2,4,acept,not furnished,3000,11412,0,147,14559
Bangalore,Kanakpura Road,3,1,1,15,acept,furnished,1668,6600,12,93,8373
Bangalore,Raja Rajeshwari Nagar,1,1,0,6,acept,furnished,1260,4980,0,66,6306
Bangalore,Hennur Road,2,1,1,2,acept,not furnished,3000,9000,150,117,12267
Chennai,Urapakkam,2,1,1,7,acept,not furnished,744,2940,231,39,3954
Bangalore,Hormavu,3,5,3,10,acept,furnished,4944,10440,3255,135,18774
Bangalore,Hennur Road,3,3,2,12,not acept,not furnished,2691,10500,0,135,13326
Bangalore,Electronics City Phase 1,3,2,2,-,acept,not furnished,0,12000,801,183,12984
Bangalore,Electronic City Phase II,1,1,1,8,not acept,furnished,1974,10500,369,135,12978
Bangalore,Hebbal,4,2,8,-,acept,not furnished,0,39120,1500,591,41220
Chennai,Kolathur,3,1,1,7,acept,not furnished,2997,3270,282,42,6591
Bangalore,Gollahalli,5,5,4,-,acept,not furnished,0,21000,1500,318,22818
Bangalore,Kengeri,4,5,4,7,acept,not furnished,9720,37500,2751,477,50460
Bangalore,Electronic City,2,2,2,6,acept,furnished,5100,19500,126,249,24975
Bangalore,Seegehalli,3,2,2,1,acept,not furnished,2190,9000,909,117,12216
Bangalore,Thanisandra,3,2,2,8,acept,not furnished,4878,9000,0,117,13995
Bangalore,Bommenahalli,4,4,4,2,acept,not furnished,5400,10170,2325,129,18024
Bangalore,Giri Nagar,3,4,2,13,acept,not furnished,8700,37500,2745,477,49410
Bangalore,Uttarahalli,1,1,1,2,not acept,not furnished,0,3600,0,48,3648
Bangalore,Whitefield,2,1,0,-,acept,not furnished,0,3600,126,57,3783
Chennai,Veppampatttu,3,1,1,1,acept,not furnished,1950,3900,51,51,5952
Bangalore,Yelahanka,1,1,1,1,not acept,furnished,3300,4800,480,63,8643
Bangalore,Yeshwanthpur,4,4,3,1,acept,furnished,9000,30000,0,381,39390
Bangalore,Vittasandra,3,3,2,12,acept,not furnished,2214,10200,345,132,12891
Bangalore,Thanisandra,4,4,2,-,acept,not furnished,0,16575,501,252,17328
Bangalore,TC Palaya,1,1,0,18,acept,furnished,1050,3900,63,51,5064
Bangalore,Rajaji Nagar,3,2,1,-,not acept,not furnished,0,7500,1263,114,8877
Bangalore,Arekere,2,3,3,15,acept,furnished,7800,27600,750,351,36510
Bangalore,Hebbal,3,3,2,-,not acept,furnished,0,21000,1251,318,22569
Bangalore,Old Airport Road,3,1,1,6,acept,not furnished,1380,9450,0,120,10950
Bangalore,Nagarbhavi,4,4,4,4,acept,not furnished,9741,45000,4767,573,60090
Bangalore,Kammasandra,4,3,4,-,acept,not furnished,0,9900,501,150,10551
Bangalore,Ramamurthy Nagar,3,2,1,21,acept,not furnished,1503,8700,84,111,10398
Bangalore,Bannerghatta Road,1,2,0,-,acept,not furnished,0,2283,387,30,2700
Bangalore,Anekal,3,2,1,4,acept,not furnished,3000,9000,150,117,12267
Bangalore,Bommasandra Industrial Area,5,7,3,-,acept,furnished,0,39000,3252,588,42840
Bangalore,Iblur Village,3,3,3,4,acept,furnished,4200,13350,990,171,18711
Bangalore,Parappana Agrahara,2,1,1,3,not acept,not furnished,2130,8430,651,108,11319
Bangalore,Kanakpura Road,2,1,1,5,acept,not furnished,2025,4650,0,60,6735
Bangalore,Kasavanhalli,3,2,1,7,acept,not furnished,3600,3600,1050,48,8298
