year,quarter,city,locality,metric,value,unit,source_url
2005,Q1,Chennai,Anna Nagar,AvgPricePerSqft,2800,INR/sqft,https://abc.com
2005,Q1,Chennai,Anna Nagar,TotalTransactions,120,transactions,https://abc.com
2005,Q2,Chennai,Anna Nagar,AvgPricePerSqft,2923,INR/sqft,https://abc.com
2005,Q2,Chennai,Anna Nagar,TotalTransactions,128,transactions,https://abc.com
2005,Q3,Chennai,Anna Nagar,AvgPricePerSqft,3046,INR/sqft,https://abc.com
2005,Q3,Chennai,Anna Nagar,TotalTransactions,136,transactions,https://abc.com
2005,Q4,Chennai,Anna Nagar,AvgPricePerSqft,3168,INR/sqft,https://abc.com
2005,Q4,Chennai,Anna Nagar,TotalTransactions,144,transactions,https://abc.com
2006,Q1,Chennai,Anna Nagar,AvgPricePerSqft,3291,INR/sqft,https://abc.com
2006,Q1,Chennai,Anna Nagar,TotalTransactions,152,transactions,https://abc.com
2006,Q2,Chennai,Anna Nagar,AvgPricePerSqft,3414,INR/sqft,https://abc.com
2006,Q2,Chennai,Anna Nagar,TotalTransactions,160,transactions,https://abc.com
2006,Q3,Chennai,Anna Nagar,AvgPricePerSqft,3537,INR/sqft,https://abc.com
2006,Q3,Chennai,Anna Nagar,TotalTransactions,168,transactions,https://abc.com
2006,Q4,Chennai,Anna Nagar,AvgPricePerSqft,3659,INR/sqft,https://abc.com
2006,Q4,Chennai,Anna Nagar,TotalTransactions,176,transactions,https://abc.com
2007,Q1,Chennai,Anna Nagar,AvgPricePerSqft,3782,INR/sqft,https://abc.com
2007,Q1,Chennai,Anna Nagar,TotalTransactions,184,transactions,https://abc.com
2007,Q2,Chennai,Anna Nagar,AvgPricePerSqft,3905,INR/sqft,https://abc.com
2007,Q2,Chennai,Anna Nagar,TotalTransactions,192,transactions,https://abc.com
2007,Q3,Chennai,Anna Nagar,AvgPricePerSqft,4028,INR/sqft,https://abc.com
2007,Q3,Chennai,Anna Nagar,TotalTransactions,200,transactions,https://abc.com
2007,Q4,Chennai,Anna Nagar,AvgPricePerSqft,4151,INR/sqft,https://abc.com
2007,Q4,Chennai,Anna Nagar,TotalTransactions,208,transactions,https://abc.com
2008,Q1,Chennai,Anna Nagar,AvgPricePerSqft,4273,INR/sqft,https://abc.com
2008,Q1,Chennai,Anna Nagar,TotalTransactions,216,transactions,https://abc.com
2008,Q2,Chennai,Anna Nagar,AvgPricePerSqft,4396,INR/sqft,https://abc.com
2008,Q2,Chennai,Anna Nagar,TotalTransactions,224,transactions,https://abc.com
2008,Q3,Chennai,Anna Nagar,AvgPricePerSqft,4519,INR/sqft,https://abc.com
2008,Q3,Chennai,Anna Nagar,TotalTransactions,232,transactions,https://abc.com
2008,Q4,Chennai,Anna Nagar,AvgPricePerSqft,4642,INR/sqft,https://abc.com
2008,Q4,Chennai,Anna Nagar,TotalTransactions,240,transactions,https://abc.com
2009,Q1,Chennai,Anna Nagar,AvgPricePerSqft,4765,INR/sqft,https://abc.com
2009,Q1,Chennai,Anna Nagar,TotalTransactions,248,transactions,https://abc.com
2009,Q2,Chennai,Anna Nagar,AvgPricePerSqft,4887,INR/sqft,https://abc.com
2009,Q2,Chennai,Anna Nagar,TotalTransactions,256,transactions,https://abc.com
2009,Q3,Chennai,Anna Nagar,AvgPricePerSqft,5010,INR/sqft,https://abc.com
2009,Q3,Chennai,Anna Nagar,TotalTransactions,264,transactions,https://abc.com
2009,Q4,Chennai,Anna Nagar,AvgPricePerSqft,5133,INR/sqft,https://abc.com
2009,Q4,Chennai,Anna Nagar,TotalTransactions,272,transactions,https://abc.com
2010,Q1,Chennai,Anna Nagar,AvgPricePerSqft,5256,INR/sqft,https://abc.com
2010,Q1,Chennai,Anna Nagar,TotalTransactions,279,transactions,https://abc.com
2010,Q2,Chennai,Anna Nagar,AvgPricePerSqft,5378,INR/sqft,https://abc.com
2010,Q2,Chennai,Anna Nagar,TotalTransactions,287,transactions,https://abc.com
2010,Q3,Chennai,Anna Nagar,AvgPricePerSqft,5501,INR/sqft,https://abc.com
2010,Q3,Chennai,Anna Nagar,TotalTransactions,295,transactions,https://abc.com
2010,Q4,Chennai,Anna Nagar,AvgPricePerSqft,5624,INR/sqft,https://abc.com
2010,Q4,Chennai,Anna Nagar,TotalTransactions,303,transactions,https://abc.com
2011,Q1,Chennai,Anna Nagar,AvgPricePerSqft,5747,INR/sqft,https://abc.com
2011,Q1,Chennai,Anna Nagar,TotalTransactions,311,transactions,https://abc.com
2011,Q2,Chennai,Anna Nagar,AvgPricePerSqft,5870,INR/sqft,https://abc.com
2011,Q2,Chennai,Anna Nagar,TotalTransactions,319,transactions,https://abc.com
2011,Q3,Chennai,Anna Nagar,AvgPricePerSqft,5992,INR/sqft,https://abc.com
2011,Q3,Chennai,Anna Nagar,TotalTransactions,327,transactions,https://abc.com
2011,Q4,Chennai,Anna Nagar,AvgPricePerSqft,6115,INR/sqft,https://abc.com
2011,Q4,Chennai,Anna Nagar,TotalTransactions,335,transactions,https://abc.com
2012,Q1,Chennai,Anna Nagar,AvgPricePerSqft,6238,INR/sqft,https://abc.com
2012,Q1,Chennai,Anna Nagar,TotalTransactions,343,transactions,https://abc.com
2012,Q2,Chennai,Anna Nagar,AvgPricePerSqft,6361,INR/sqft,https://abc.com
2012,Q2,Chennai,Anna Nagar,TotalTransactions,351,transactions,https://abc.com
2012,Q3,Chennai,Anna Nagar,AvgPricePerSqft,6484,INR/sqft,https://abc.com
2012,Q3,Chennai,Anna Nagar,TotalTransactions,359,transactions,https://abc.com
2012,Q4,Chennai,Anna Nagar,AvgPricePerSqft,6606,INR/sqft,https://abc.com
2012,Q4,Chennai,Anna Nagar,TotalTransactions,367,transactions,https://abc.com
2013,Q1,Chennai,Anna Nagar,AvgPricePerSqft,6729,INR/sqft,https://abc.com
2013,Q1,Chennai,Anna Nagar,TotalTransactions,375,transactions,https://abc.com
2013,Q2,Chennai,Anna Nagar,AvgPricePerSqft,6852,INR/sqft,https://abc.com
2013,Q2,Chennai,Anna Nagar,TotalTransactions,383,transactions,https://abc.com
2013,Q3,Chennai,Anna Nagar,AvgPricePerSqft,6975,INR/sqft,https://abc.com
2013,Q3,Chennai,Anna Nagar,TotalTransactions,391,transactions,https://abc.com
2013,Q4,Chennai,Anna Nagar,AvgPricePerSqft,7097,INR/sqft,https://abc.com
2013,Q4,Chennai,Anna Nagar,TotalTransactions,399,transactions,https://abc.com
2014,Q1,Chennai,Anna Nagar,AvgPricePerSqft,7220,INR/sqft,https://abc.com
2014,Q1,Chennai,Anna Nagar,TotalTransactions,407,transactions,https://abc.com
2014,Q2,Chennai,Anna Nagar,AvgPricePerSqft,7343,INR/sqft,https://abc.com
2014,Q2,Chennai,Anna Nagar,TotalTransactions,415,transactions,https://abc.com
2014,Q3,Chennai,Anna Nagar,AvgPricePerSqft,7466,INR/sqft,https://abc.com
2014,Q3,Chennai,Anna Nagar,TotalTransactions,423,transactions,https://abc.com
2014,Q4,Chennai,Anna Nagar,AvgPricePerSqft,7589,INR/sqft,https://abc.com
2014,Q4,Chennai,Anna Nagar,TotalTransactions,431,transactions,https://abc.com
2015,Q1,Chennai,Anna Nagar,AvgPricePerSqft,7711,INR/sqft,https://abc.com
2015,Q1,Chennai,Anna Nagar,TotalTransactions,439,transactions,https://abc.com
